Pirimicarb: MSBNK-LCSB-LU004406 | Formula: C11H18N4O2
Terbutryn: MSBNK-LCSB-LU004706 | Formula: C10H19N5S
Trinexapac-ethyl: MSBNK-LCSB-LU005356 | Formula: C13H16O5
Cybutryne: MSBNK-LCSB-LU005506 | Formula: C11H19N5S
Napropamide: MSBNK-LCSB-LU006606 | Formula: C17H21NO2
4-Methoxyaniline: MSBNK-LCSB-LU020106 | Formula: C7H9NO
1-Dodecyl-2-pyrrolidinone: MSBNK-LCSB-LU015306 | Formula: C16H31NO
3-Thiatetradecanoic acid: MSBNK-LCSB-LU015455 | Formula: C13H26O2S
Anastrozole: MSBNK-LCSB-LU016606 | Formula: C17H19N5
Vincamine: MSBNK-LCSB-LU016806 | Formula: C21H26N2O3
4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]: MSBNK-LCSB-LU017256 | Formula: C18H18O4S
Phenolphthalein: MSBNK-LCSB-LU017356 | Formula: C20H14O4
Indinavir: MSBNK-LCSB-LU017856 | Formula: C36H47N5O4
4-Phenoxyphenol: MSBNK-LCSB-LU018056 | Formula: C12H10O2
Indole-3-acetic acid: MSBNK-LCSB-LU019056 | Formula: C10H9NO2
Xanthone: MSBNK-LCSB-LU019806 | Formula: C13H8O2
N-Benzyladenine: MSBNK-LCSB-LU020255 | Formula: C12H11N5
4-Methylumbelliferone: MSBNK-LCSB-LU096706 | Formula: C10H8O3
Probenecid: MSBNK-LCSB-LU020856 | Formula: C13H19NO4S
Zearalenone: MSBNK-LCSB-LU021156 | Formula: C18H22O5
(9Z,12R)-12-Hydroxyoctadec-9-enoic acid: MSBNK-LCSB-LU021956 | Formula: C18H34O3
2-Methyl-4,6-dinitrophenol: MSBNK-LCSB-LU023056 | Formula: C7H6N2O5
Ametryn: MSBNK-LCSB-LU023106 | Formula: C9H17N5S
Pyriproxyfen: MSBNK-LCSB-LU023506 | Formula: C20H19NO3
5HPP-33: MSBNK-LCSB-LU024256 | Formula: C20H21NO3
5,5-Dimethylbarbituric acid: MSBNK-LCSB-LU024956 | Formula: C6H8N2O3
Niacinamide: MSBNK-LCSB-LU025106 | Formula: C6H6N2O
Danazol: MSBNK-LCSB-LU025306 | Formula: C22H27NO2
Fenpyroximate (Z,E): MSBNK-LCSB-LU025406 | Formula: C24H27N3O4
Pymetrozine: MSBNK-LCSB-LU025706 | Formula: C10H11N5O
Tolazamide: MSBNK-LCSB-LU027256 | Formula: C14H21N3O3S
Tolcapone: MSBNK-LCSB-LU027356 | Formula: C14H11NO5
Imazethapyr: MSBNK-LCSB-LU027456 | Formula: C15H19N3O3
Dodecanedioic acid: MSBNK-LCSB-LU027556 | Formula: C12H22O4
Butralin: MSBNK-LCSB-LU027706 | Formula: C14H21N3O4
Methoxyfenozide: MSBNK-LCSB-LU027856 | Formula: C22H28N2O3
C.I. Solvent Yellow 14: MSBNK-LCSB-LU029706 | Formula: C16H12N2O
Quercetin: MSBNK-LCSB-LU029856 | Formula: C15H10O7
Diphenylamine: MSBNK-LCSB-LU030006 | Formula: C12H11N
Formononetin: MSBNK-LCSB-LU030156 | Formula: C16H12O4
2-[4-(Diethylamino)-2-hydroxybenzoyl]benzoic acid: MSBNK-LCSB-LU030356 | Formula: C18H19NO4
4,4'-Methylenebis(2-methylaniline): MSBNK-LCSB-LU032206 | Formula: C15H18N2
Propyl gallate: MSBNK-LCSB-LU032356 | Formula: C10H12O5
6-Propyl-2-thiouracil: MSBNK-LCSB-LU032456 | Formula: C7H10N2OS
Mefenamic acid: MSBNK-LCSB-LU032756 | Formula: C15H15NO2
Colchicine: MSBNK-LCSB-LU032806 | Formula: C22H25NO6
1,2-Benzisothiazolin-3-one: MSBNK-LCSB-LU033006 | Formula: C7H5NOS
Oleyl sarcosine: MSBNK-LCSB-LU033606 | Formula: C21H39NO3
Phenazone: MSBNK-LCSB-LU034706 | Formula: C11H12N2O
4-[3-(4-Acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy-acetic acid: MSBNK-LCSB-LU035356 | Formula: C22H26O7
Propoxur: MSBNK-LCSB-LU036506 | Formula: C11H15NO3
Acetazolamide: MSBNK-LCSB-LU036656 | Formula: C4H6N4O3S2
