DTXSID,CASRN,PREFERRED NAME,MOLECULAR_FORMULA,MONOISOTOPIC MASS,AVERAGE_MASS,SMILES,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL
DTXSID0020076,61-82-5,Amitrole,C2H4N4,84.043596,84.082,NC1=NNC=N1,2,385,1,Inactive
DTXSID0020020,18699-02-0,Actarit,C10H11NO3,193.073893,193.202,CC(=O)NC1=CC=C(CC(O)=O)C=C1,0,316,0,Inactive
DTXSID0020072,2113-61-3,4-Biphenylamine hydrochloride,C12H12ClN,205.065827,205.69,Cl.NC1=CC=C(C=C1)C1=CC=CC=C1,23,328,7,Inactive
DTXSID0020022,50594-66-6,Acifluorfen,C14H7ClF3NO5,360.996485,361.66,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,48,680,7,Inactive
DTXSID0020105,134-03-2,Sodium L-ascorbate,C6H7NaO6,198.014032,198.106,[Na+].OC[C@H](O)[C@H]1OC(=O)C(O)=C1[O-],14,620,2,Inactive
DTXSID00190950,375-82-6,6:1 Fluorotelomer alcohol,C7H3F13O,349.997631,350.079,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,42,233,18,Active
DTXSID00192353,39108-34-4,8:2 Fluorotelomer sulfonic acid,C10H5F17O3S,527.968794,528.18,OS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,26,258,10,Inactive
DTXSID00194615,4180-26-1,"1H,1H,9H-Perfluorononyl acrylate",C12H6F16O2,486.01123,486.152,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)C=C,52,235,22,Inactive
DTXSID0020236,814-80-2,Calcium lactate,C6H10CaO6,218.010329,218.218,[Ca++].CC(O)C([O-])=O.CC(O)C([O-])=O,4,318,1,Inactive
DTXSID0020107,22839-47-0,Aspartame,C14H18N2O5,294.121572,294.307,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,2,409,0,Inactive
DTXSID0020151,140-11-4,Benzyl acetate,C9H10O2,150.06808,150.177,CC(=O)OCC1=CC=CC=C1,12,355,3,Inactive
DTXSID0020280,88-73-3,1-Chloro-2-nitrobenzene,C6H4ClNO2,156.993056,157.55,[O-][N+](=O)C1=C(Cl)C=CC=C1,0,321,0,Inactive
DTXSID0020286,95-74-9,3-Chloro-4-methylaniline,C7H8ClN,141.034527,141.6,CC1=C(Cl)C=C(N)C=C1,9,357,3,Inactive
DTXSID0020288,3165-93-3,4-Chloro-2-methylaniline hydrochloride,C7H9Cl2N,177.011205,178.06,Cl.CC1=C(N)C=CC(Cl)=C1,19,321,6,Inactive
DTXSID0020311,150-68-5,Monuron,C9H11ClN2O,198.055991,198.65,CN(C)C(=O)NC1=CC=C(Cl)C=C1,16,598,3,Inactive
DTXSID0020232,58-08-2,Caffeine,C8H10N4O2,194.080376,194.194,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,49,652,8,Inactive
