DTXSID,CASRN,PREFERRED.NAME,MOLECULAR_FORMULA,MONOISOTOPIC.MASS,AVERAGE_MASS,SMILES,ToxCast.Active,ToxCast.Total,X..ToxCast.Active,HIT.CALL,C,H,N,O,S
DTXSID0020076,61-82-5,Amitrole,C2H4N4,84.043596,84.082,NC1=NNC=N1,2,385,1,Inactive,2,4,4,0,0
DTXSID0020020,18699-02-0,Actarit,C10H11NO3,193.073893,193.202,CC(=O)NC1=CC=C(CC(O)=O)C=C1,0,316,0,Inactive,10,11,1,3,0
DTXSID0020107,22839-47-0,Aspartame,C14H18N2O5,294.121572,294.307,COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@@H](N)CC(O)=O,2,409,0,Inactive,14,18,2,5,0
DTXSID0020151,140-11-4,Benzyl acetate,C9H10O2,150.06808,150.177,CC(=O)OCC1=CC=CC=C1,12,355,3,Inactive,9,10,0,2,0
DTXSID0020232,58-08-2,Caffeine,C8H10N4O2,194.080376,194.194,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,49,652,8,Inactive,8,10,4,2,0
DTXSID0020365,59865-13-3,Cyclosporin A,C62H111N11O12,1201.841368,1202.635,[H][C@@]1([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@H](CC)NC1=O)C(C)C,166,472,35,Inactive,62,111,11,12,0
DTXSID0020498,120-61-6,Dimethyl terephthalate,C10H10O4,194.057909,194.186,COC(=O)C1=CC=C(C=C1)C(=O)OC,25,570,4,Inactive,10,10,0,4,0
DTXSID0020523,51-28-5,"2,4-Dinitrophenol",C6H4N2O5,184.012021,184.107,OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,129,572,23,Inactive,6,4,2,5,0
DTXSID0020529,121-14-2,"2,4-Dinitrotoluene",C7H6N2O4,182.032757,182.135,CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,21,601,3,Inactive,7,6,2,4,0
DTXSID0020604,106-87-6,4-Vinyl-1-cyclohexene diepoxide,C8H12O2,140.08373,140.182,C1OC1C1CCC2OC2C1,10,579,2,Inactive,8,12,0,2,0
DTXSID0020573,50-28-2,17beta-Estradiol,C18H24O2,272.17763,272.388,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],188,657,29,Active,18,24,0,2,0
DTXSID0020575,140-67-0,Estragole,C10H12O,148.088815,148.205,COC1=CC=C(CC=C)C=C1,3,345,1,Inactive,10,12,0,1,0
DTXSID0020577,536-33-4,Ethionamide,C8H10N2S,166.05647,166.24,CCC1=NC=CC(=C1)C(N)=S,3,321,1,Inactive,8,10,2,0,1
DTXSID0020606,103-23-1,Bis(2-ethylhexyl)hexanedioate,C22H42O4,370.30831,370.574,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,6,582,1,Inactive,22,42,0,4,0
DTXSID0020652,25812-30-0,Gemfibrozil,C15H22O3,250.156895,250.338,CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1,18,379,5,Inactive,15,22,0,3,0
DTXSID0020654,105-87-3,Geranyl acetate,C12H20O2,196.14633,196.29,CC(C)=CCC\C(C)=C\COC(C)=O,7,584,1,Inactive,12,20,0,2,0
DTXSID0020656,77-06-5,Gibberellic acid,C19H22O6,346.141638,346.379,[H][C@@]12CC[C@]3(O)C[C@]1(CC3=C)[C@@H](C(O)=O)[C@]1([H])[C@@]3(C)[C@@H](O)C=C[C@@]21OC3=O,1,345,0,Inactive,19,22,0,6,0
DTXSID0020737,120-72-9,Indole,C8H7N,117.057849,117.151,N1C=CC2=C1C=CC=C2,5,354,1,Inactive,8,7,1,0,0
DTXSID0020814,72-33-3,Mestranol,C21H26O2,310.19328,310.437,COC1=CC2=C(C=C1)[C@H]1CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]1CC2,131,527,25,Inactive,21,26,0,2,0
DTXSID0021040,932-83-2,N-Nitrosohexamethyleneimine,C6H12N2O,128.094963,128.175,O=NN1CCCCCC1,2,319,1,Inactive,6,12,2,1,0
DTXSID0020943,99-59-2,5-Nitro-o-anisidine,C7H8N2O3,168.053492,168.152,COC1=C(N)C=C(C=C1)[N+]([O-])=O,21,601,3,Inactive,7,8,2,3,0
DTXSID0021094,101-80-4,"4,4'-Oxydianiline",C12H12N2O,200.094963,200.241,NC1=CC=C(OC2=CC=C(N)C=C2)C=C1,44,614,7,Inactive,12,12,2,1,0
DTXSID0021125,77-09-8,Phenolphthalein,C20H14O4,318.089209,318.328,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,208,659,32,Inactive,20,14,0,4,0
DTXSID0021206,57-55-6,"1,2-Propylene glycol",C3H8O2,76.052429,76.095,CC(O)CO,5,605,1,Inactive,3,8,0,2,0
DTXSID0021254,94-59-7,Safrole,C10H10O2,162.06808,162.188,C=CCC1=CC=C2OCOC2=C1,8,591,1,Inactive,10,10,0,2,0
DTXSID0021256,599-79-1,Sulfasalazine,C18H14N4O5S,398.068491,398.39,OC(=O)C1=CC(=CC=C1O)N=NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,45,660,7,Inactive,18,14,4,5,1
DTXSID0021337,148-79-8,Thiabendazole,C10H7N3S,201.036068,201.25,N1C2=C(C=CC=C2)N=C1C1=CSC=N1,63,677,9,Inactive,10,7,3,0,1
DTXSID0021333,97-74-5,Tetramethylthiuram monosulfide,C6H12N2S3,208.016262,208.36,CN(C)C(=S)SC(=S)N(C)C,160,456,35,Inactive,6,12,2,0,3
DTXSID0021597,111-71-7,Heptanal,C7H14O,114.104465,114.188,CCCCCCC=O,9,458,2,Inactive,7,14,0,1,0
DTXSID0021460,17924-92-4,Zearalenone,C18H22O5,318.146724,318.369,C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,150,416,36,Inactive,18,22,0,5,0
DTXSID0021757,78-27-3,1-Ethynylcyclohexanol,C8H12O,124.088815,124.183,OC1(CCCCC1)C#C,5,318,2,Inactive,8,12,0,1,0
DTXSID0021626,536-60-7,4-Isopropylbenzyl alcohol,C10H14O,150.104465,150.221,CC(C)C1=CC=C(CO)C=C1,6,431,1,Inactive,10,14,0,1,0
DTXSID0021628,78-98-8,Methyl glyoxal,C3H4O2,72.021129,72.063,CC(=O)C=O,0,195,0,Inactive,3,4,0,2,0
DTXSID0021759,78-83-1,2-Methyl-1-propanol,C4H10O,74.073165,74.123,CC(C)CO,1,327,0,Inactive,4,10,0,1,0
DTXSID0021888,107-87-9,2-Pentanone,C5H10O,86.073165,86.134,CCCC(C)=O,3,349,1,Inactive,5,10,0,1,0
DTXSID0021915,110-40-7,Diethyl decanedioate,C14H26O4,258.183109,258.358,CCOC(=O)CCCCCCCCC(=O)OCC,4,427,1,Inactive,14,26,0,4,0
DTXSID0021834,100-02-7,4-Nitrophenol,C6H5NO3,139.026943,139.11,OC1=CC=C(C=C1)[N+]([O-])=O,39,599,7,Inactive,6,5,1,3,0
DTXSID0021836,100-25-4,"1,4-Dinitrobenzene",C6H4N2O4,168.017107,168.108,[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O,85,313,27,Inactive,6,4,2,4,0
DTXSID0021832,99-97-8,"N,N,4-Trimethylaniline",C9H13N,135.104799,135.21,CN(C)C1=CC=C(C)C=C1,11,577,2,Inactive,9,13,1,0,0
DTXSID0021961,119-61-9,Benzophenone,C13H10O,182.073165,182.222,O=C(C1=CC=CC=C1)C1=CC=CC=C1,21,590,4,Active,13,10,0,1,0
DTXSID0021963,120-21-8,4-(Diethylamino)benzaldehyde,C11H15NO,177.115364,177.247,CCN(CC)C1=CC=C(C=O)C=C1,21,321,7,Inactive,11,15,1,1,0
DTXSID0021969,121-33-5,4-Hydroxy-3-methoxybenzaldehyde,C8H8O3,152.047344,152.149,COC1=C(O)C=CC(C=O)=C1,20,590,3,Inactive,8,8,0,3,0
DTXSID0022193,2495-37-6,Benzyl methacrylate,C11H12O2,176.08373,176.215,CC(=C)C(=O)OCC1=CC=CC=C1,3,316,1,Inactive,11,12,0,2,0
DTXSID0022012,150-19-6,3-Methoxyphenol,C7H8O2,124.052429,124.139,COC1=CC=CC(O)=C1,2,316,1,Inactive,7,8,0,2,0
DTXSID0022305,1746-23-2,4-tert-Butylstyrene,C12H16,160.125201,160.26,CC(C)(C)C1=CC=C(C=C)C=C1,3,316,1,Inactive,12,16,0,0,0
DTXSID0022014,150-78-7,Hydroquinone dimethyl ether,C8H10O2,138.06808,138.166,COC1=CC=C(OC)C=C1,0,345,0,Inactive,8,10,0,2,0
DTXSID0022016,280-57-9,"1,4-Diazabicyclo[2.2.2]octane",C6H12N2,112.100048,112.176,C1CN2CCN1CC2,15,321,5,Inactive,6,12,2,0,0
DTXSID0022062,563-80-4,3-Methyl-2-butanone,C5H10O,86.073165,86.134,CC(C)C(C)=O,0,319,0,Inactive,5,10,0,1,0
DTXSID0022191,2455-24-5,Tetrahydrofurfuryl methacrylate,C9H14O3,170.094294,170.208,CC(=C)C(=O)OCC1CCCO1,0,320,0,Inactive,9,14,0,3,0
