"Feature","Gain","Cover","Frequency"
"MONOISOTOPIC.MASS",0.216517243206644,0.158427860137813,0.105987611837577
"Un357",0.0558895021356002,0.0591154503552705,0.0316586373021335
"Un8341",0.0259617557207823,0.0302083613844514,0.0172057811424639
"Un714",0.0259083224222789,0.0302319763308429,0.0137646249139711
"Un8428",0.0145137527336651,0.0135824240278958,0.012388162422574
"Un4816",0.0143211054095079,0.0159774596250001,0.0158293186510668
"Un502",0.014192108599328,0.014316053701441,0.0137646249139711
"Un1705",0.0138839473794341,0.0201452262269462,0.0178940123881624
"Un1044",0.0131989423577519,0.0205202729231807,0.0158293186510668
"Un1200",0.0125207068578918,0.0127925940540459,0.0110116999311769
"Un867",0.0123604749977765,0.0140137993059105,0.0178940123881624
"Un1534",0.0119937761238545,0.0150638659146294,0.0110116999311769
"Un4394",0.0112737881524039,0.0114417008783927,0.0103234686854783
"Un486",0.0105482238298745,0.0112971713456414,0.00825877494838266
"Un1225",0.0100874583681095,0.00908373490938646,0.0103234686854783
"Un493",0.00864176234935714,0.0077935523363483,0.0103234686854783
"Un1132",0.00805722009310882,0.00914906550426913,0.00963523743977977
"Un511",0.00803473949765058,0.00857469170502522,0.00894700619408121
"Un415",0.00781721418079683,0.0122171112707426,0.00894700619408121
"Un361",0.00776436003359498,0.0107055371809196,0.00963523743977977
