rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.07513337848841749	-104.98847299996885	C11H20O4	[M - H]-	LWBHHRRTOZQPDM	InChI=1S/C11H20O4/c12-10(13)8-6-4-2-1-3-5-7-9-11(14)15/h1-9H2,(H,12,13)(H,14,15)	bmse000847	C(CCCCC(=O)O)CCCCC(=O)O	2.61212873	15816;6992916;12400842;57459457	HMDB:(888);SuperNatural:(SN00002337 SN00232703);ZINC bio:(ZINC01593115);additional;PubMed;NORMAN:(NS00002110);COCONUT:(CNP0292095 CNP0421436);Natural Products:(UNPD161504);PubChem:(15816 6992916 12400842 57459457);CHEBI:(73713);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set	87875690
2	1	N/A	-107.84561069326239	C11H20O4	[M - H]-	DPGZFJFHAYJXOG	InChI=1S/C11H20O4/c1-3-10(12)15-9-7-5-6-8-11(13)14-4-2/h3-9H2,1-2H3	null	CCC(=O)OCCCCCC(=O)OCC	1.79999995	53772017	PubChem:(53772017)	2
3	1	N/A	-107.86853050410663	C11H20O4	[M - H]-	LKKOGZVQGQUVHF	InChI=1S/C11H20O4/c1-3-14-10(12)8-6-5-7-9-11(13)15-4-2/h3-9H2,1-2H3	zlchem 330	CCOC(=O)CCCCCC(=O)OCC	1.89999998	16300	NORMAN:(NS00026649);COCONUT;PubChem:(16300);additional;PubChem class - safety and toxic;PubMed	69992514
4	1	N/A	-109.18116607777453	C11H20O4	[M - H]-	RCCGWNHFOUZGMS	InChI=1S/C11H20O4/c1-3-8-15-11(13)7-5-4-6-9-14-10(2)12/h3-9H2,1-2H3	null	CCCOC(=O)CCCCCOC(=O)C	1.89999998	57003592	PubChem:(57003592)	2
5	1	N/A	-112.8741492730785	C11H20O4	[M - H]-	QWBYUNGTAXMASZ	InChI=1S/C11H20O4/c1-15-11(14)8-4-2-3-6-10(13)7-5-9-12/h5,7,10,12-13H,2-4,6,8-9H2,1H3	Methyl (Z)-7,10-dihydroxydec-8-enoate	COC(=O)CCCCCC(C=CCO)O	0.600000024	11806102	PubChem:(11806102)	2
6	1	N/A	-113.18659767958798	C11H20O4	[M - H]-	XYTGEWBGYAGMKX	InChI=1S/C11H20O4/c1-3-8(2)4-5-9(12)6-10(13)7-11(14)15/h3,9-10,12-13H,4-7H2,1-2H3,(H,14,15)	null	CC=C(C)CCC(CC(CC(=O)O)O)O	1.20000005	89338059	PubChem:(89338059)	2
7	1	N/A	-114.40235797862128	C11H20O4	[M - H]-	NQPXWLRFIVDIOV	InChI=1S/C11H20O4/c1-9(11(14)15)6-4-2-3-5-7-10(13)8-12/h6,10,12-13H,2-5,7-8H2,1H3,(H,14,15)	null	CC(=CCCCCCC(CO)O)C(=O)O	1.39999998	139431050	PubChem:(139431050)	2
8	1	N/A	-114.59519519095284	C11H20O4	[M - H]-	VWADZMVKLRTURE	InChI=1S/C11H20O4/c1-3-5-13-8-9-15-11-10-14-7-6-12-4-2/h1H,4-11H2,2H3	3,6,9,12-Tetraoxapentadec-14-yne	CCOCCOCCOCCOCC#C	0.100000001	58995797	PubChem:(58995797)	2
9	1	N/A	-115.7497215621592	C11H20O4	[M - H]-	NBRMYJXMNGXOCF	InChI=1S/C11H20O4/c1-8(9(2)11(14)15)10(13)6-4-3-5-7-12/h10,12-13H,3-7H2,1-2H3,(H,14,15)	null	CC(=C(C)C(=O)O)C(CCCCCO)O	1.10000002	57323084;57431407;57431408	PubChem:(57323084 57431407 57431408)	2
10	1	N/A	-116.01778440457997	C11H20O4	[M - H]-	VHCOZNTYMBZXBI	InChI=1S/C11H20O4/c1-3-5-6-8-15-11(13)9-10(12)14-7-4-2/h3-9H2,1-2H3	null	CCCCCOC(=O)CC(=O)OCCC	2.79999995	124139486	PubChem:(124139486)	2
