rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass
1	C20H32O8	[M - H]-	C20H32O8	150.4996332363903	146.72198108384129	3.7776521525490203	44	0.9610130126308422	1.2203143961703868	2.4225032492582113	-0.3545368087602006	
2	C14H33N4O7P	[M - H]-	C14H33N4O7P	136.56290209725213	134.34782935432398	2.215072742928165	44	0.9610130126308422	2.1254900084804302	2.5013660011109047	2.2305134276704695	
3	C13H32N6O6S	[M - H]-	C13H32N6O6S	135.37763425745976	132.86240281581794	2.5152314416418147	44	0.9610130126308422	1.1380536874371818	2.468950632755016	-2.0723625828359133	
4	C21H28N4O4	[M - H]-	C21H28N4O4	134.06258311032653	131.82387111581536	2.238711994511158	41	0.9473640673220708	0.8414948982450788	2.7422540194282674	-3.7046978674068414	
5	C18H30N3O7	[M - H]-	C18H30N3O7	133.69441586463557	130.48413942548677	3.210276439148812	44	0.9610130126308422	2.22470649624053	2.6527048405990206	3.0088806865997237	
6	C16H35NO8P	[M - H]-	C16H35NO8P	132.7959461395274	129.52401474408475	3.2719313954426497	44	0.9610130126308422	1.1380536874371818	2.4225032492582113	-1.1329040676894546	
7	C16H28N6O6	[M - H]-	C16H28N6O6	132.57147228275437	130.49301066802448	2.0784616147298767	43	0.9404934618688556	2.2018529186494686	2.5994502725659276	6.372298181959648	
8	C11H30N9O5S	[M - H]-	C11H30N9O5S	127.24580355797718	126.04029736986517	1.2055061881120106	44	0.9610130126308422	1.577935049841467	2.6527048405990206	1.2910549126664035	
9	C15H34N3O7S	[M - H]-	C15H34N3O7S	127.15164399223141	124.67420283427552	2.477441157955897	43	0.9575466895739875	1.1926805152637163	2.5994502725659276	-5.435780078053445	
10	C15H29N8O3P	[M - H]-	C15H29N8O3P	122.46949714557798	119.27703254602332	3.192464599554649	37	0.7744472018071333	0.8414948982450788	2.517195218072279	-1.1196476309761711	
