rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C10H16O6	[M - H]-	C10H16O6	210.10375585302822	206.67460642218398	3.4291494308442427	50	0.9563892668462702	1.9423504606853748	2.4460179353300124	0.38176054767459644		231.08750	231.97	214_LimoneneNegative_217
2	C10H14O5	[M - H]-	C10H14O5	204.90989412324217	201.88583312610544	3.0240609971367394	51	0.9537264926812312	2.2541247474502013	2.896442313369727	1.46850131918964		213.07716	231.97	213_LimoneneNegative_216
3	C9H12O6	[M - H]-	C9H12O6	203.20776244321775	200.92870043700333	2.2790620062144167	46	0.9116951602426682	1.6306561959983377	2.2959758085496027	0.3178150498395154		215.05618	85.33	61_LimoneneNegative_62
4	C9H14O5	[M - H]-	C9H14O5	200.77642820282847	197.57329538074478	3.2031328220836883	42	0.9492951384314241	1.3971800092401248	2.933302013912898	1.556139397180575		201.07716	119.07	106_LimoneneNegative_107
4	C9H14O5	[M - H]-	C9H14O5	193.960810282708	188.7820753786521	5.1787349040558786	42	0.9469052062942899	2.015603065439431	2.942060893633661	1.7053356005159233		201.07719	257.73	237_LimoneneNegative_240
5	C9H12O6	[M - H]-	C9H12O6	192.92111605504329	192.92111605504329	0.0	47	0.7543399459566335	1.827288901946326	2.9253898151840523	0.6898106131017399		215.05626	104.21	88_LimoneneNegative_89
6	C9H14O5	[M - H]-	C9H14O5	186.9874932854846	181.81789242241123	5.1696008630733425	45	0.9417146738844244	1.796713572889724	2.678959363538804	1.7053356005159233		201.07719	195.69	175_LimoneneNegative_177
7	C10H16O6	[M - H]-	C10H16O6	183.0275182529447	179.5667783154842	3.460739937460487	47	0.9501100804612138	2.0348064682627784	2.867424644689109	0.2952132696864626		231.08748	193.56	173_LimoneneNegative_175
8	C10H14O5	[M - H]-	C10H14O5	181.80852848883166	179.0969471730193	2.7115813158123667	40	0.9680503020633527	2.1085788220275217	2.7492673976885236	1.4215700301323153		213.07715	110.57	95_LimoneneNegative_96
9	C9H12O7	[M - H]-	C9H12O7	177.97465778511898	174.86902878444005	3.1056290006789213	49	0.874250771931949	1.9025999182239282	2.768700812742826	0.36237908809161284		231.05111	79.08	52_LimoneneNegative_52
10	C8H12O6	[M - H]-	C8H12O6	176.49519441360826	173.50484452954112	2.99034988406715	45	0.9411003503839757	1.313361901213616	2.878421060770877	1.4200394104769003		203.05640	66.44	35_LimoneneNegative_35
11	C8H10O7	[M - H]-	C8H10O7	170.25107141989417	167.22215725852104	3.0289141613731374	39	0.853136099721574	1.92282142093246	2.5605029044785703	0.6164525359794777		217.03551	58.01	18_LimoneneNegative_18
12	C9H12O5	[M - H]-	C9H12O5	169.31975445451258	166.14656163961075	3.1731928149018263	39	0.895074371901171	2.395192141653912	2.9816774675044813	1.5722180071600853		199.06151	106.33	90_LimoneneNegative_91
