"id","foldernumber","Carcinogenicity_predicted","predform","predion","exactMass"
"LimoneneNegative","10","Inactive","C5H6O3","C5H6O3_[M-H2O-H]-",114.03169404
"LimoneneNegative","101","Inactive","C11H18O7","C11H18O7_[M-H2O-H]-",262.10525288
"LimoneneNegative","102","Inactive","C5H8O4","C5H8O4_[M-H]-",132.04225872
"LimoneneNegative","103","Inactive","C8H12O2","C8H12O2_[M-H]-",140.0837296
"LimoneneNegative","103","Inactive","C8H12O2","C8H12O2_[M-H2O-H]-",140.0837296
"LimoneneNegative","104","Inactive","C9H12O4","C9H12O4_[M-H2O-H]-",184.07355884
"LimoneneNegative","105","Active","C9H12O5","C9H12O5_[M-H]-",200.06847346
"LimoneneNegative","106","Inactive","C9H14O5","C9H14O5_[M-H]-",202.08412352
"LimoneneNegative","107","Inactive","C10H14O7","C10H14O7_[M-H]-",246.07395276
"LimoneneNegative","108","Inactive","C12H14O7","C12H14O7_[M-H]-",270.07395276
"LimoneneNegative","109","Inactive","C7H10O2","C7H10O2_[M-H]-",126.06807954
"LimoneneNegative","109","Inactive","C7H10O2","C7H10O2_[M-H2O-H]-",126.06807954
"LimoneneNegative","11","Inactive","C5H6O4","C5H6O4_[M-H]-",130.02660866
"LimoneneNegative","110","Inactive","C9H16O5","C9H16O5_[M-H]-",204.09977358
"LimoneneNegative","111","Inactive","C9H14O6","C9H14O6_[M-H]-",218.07903814
"LimoneneNegative","112","Inactive","C10H20O5","C10H20O5_[M-H]-",220.1310737
"LimoneneNegative","113","Inactive","C6H10O2","C6H10O2_[M-H]-",114.06807954
"LimoneneNegative","114","Inactive","C7H10O4","C7H10O4_[M-H]-",158.05790878
"LimoneneNegative","114","Inactive","C7H10O4","C7H10O4_[M-H2O-H]-",158.05790878
"LimoneneNegative","115","Inactive","C8H10O5","C8H10O5_[M-H]-",186.0528234
"LimoneneNegative","116","Inactive","C7H12O3","C7H12O3_[M-H]-",144.07864422
"LimoneneNegative","117","Inactive","C8H10O4","C8H10O4_[M-H2O-H]-",170.05790878
"LimoneneNegative","118","Inactive","C8H12O5","C8H12O5_[M-H]-",188.06847346
"LimoneneNegative","119","Inactive","C7H10O2","C7H10O2_[M-H2O-H]-",126.06807954
"LimoneneNegative","12","Inactive","C8H12O7","C8H12O7_[M-H]-",220.0583027
"LimoneneNegative","120","Inactive","C7H12O5","C7H12O5_[M-H]-",176.06847346
"LimoneneNegative","121","Inactive","C9H12O6","C9H12O6_[M-H]-",216.06338808
"LimoneneNegative","122","Inactive","C10H8O8S","C10H8O8S_[M-H]-",287.99398837
"LimoneneNegative","123","Inactive","C14H18N6O8","C14H18N6O8_[M-H]-",398.1186115
"LimoneneNegative","124","Inactive","C23H11NO8","C23H11NO8_[M-H]-",429.04846629
"LimoneneNegative","125","Inactive","C8H10O3","C8H10O3_[M-H2O-H]-",154.06299416
"LimoneneNegative","126","Inactive","C8H12O4","C8H12O4_[M-H]-",172.07355884
"LimoneneNegative","127","Inactive","C6H6N6O3","C6H6N6O3_[M-H]-",210.05013804
"LimoneneNegative","128","Inactive","C8H14O3","C8H14O3_[M-H]-",158.09429428
"LimoneneNegative","129","Inactive","C9H14O5","C9H14O5_[M-H]-",202.08412352
"LimoneneNegative","13","Inactive","C9H16O6","C9H16O6_[M-H]-",220.0946882
"LimoneneNegative","13","Inactive","C9H16O6","C9H16O6_[M-H2O-H]-",220.0946882
"LimoneneNegative","130","Inactive","C12H14O7","C12H14O7_[M-H]-",270.07395276
"LimoneneNegative","131","Inactive","C18H28O10","C18H28O10_[M-H]-",404.16824704
"LimoneneNegative","132","Inactive","C15H20N6O8","C15H20N6O8_[M-H]-",412.13426156
"LimoneneNegative","133","Inactive","C16H22N6O8","C16H22N6O8_[M-H]-",426.14991162
"LimoneneNegative","134","Inactive","C9H15ClO5","C9H15ClO5_[M-H]-",238.06080123
"LimoneneNegative","135","Inactive","C5H8O3","C5H8O3_[M-H]-",116.0473441
"LimoneneNegative","136","Inactive","C6H10O3","C6H10O3_[M-H]-",130.06299416
"LimoneneNegative","137","Inactive","C8H12O2","C8H12O2_[M-H2O-H]-",140.0837296
"LimoneneNegative","138","Inactive","C9H16O6","C9H16O6_[M-H]-",220.0946882
"LimoneneNegative","139","Inactive","C9H12O6","C9H12O6_[M-H]-",216.06338808
"LimoneneNegative","14","Inactive","C4H6O3","C4H6O3_[M-H2O-H]-",102.03169404
"LimoneneNegative","140","Inactive","C9H12O3","C9H12O3_[M-H2O-H]-",168.07864422
"LimoneneNegative","141","Inactive","C8H12O4","C8H12O4_[M-H]-",172.07355884
"LimoneneNegative","142","Inactive","C9H14O4","C9H14O4_[M-H]-",186.0892089
"LimoneneNegative","143","Inactive","C11H18O6","C11H18O6_[M-H2O-H]-",246.11033826
"LimoneneNegative","144","Inactive","C11H20O7","C11H20O7_[M-H]-",264.12090294
"LimoneneNegative","145","Inactive","C5H8O3","C5H8O3_[M-H]-",116.0473441
"LimoneneNegative","146","Inactive","C6H10O3","C6H10O3_[M-H]-",130.06299416
"LimoneneNegative","147","Inactive","C8H14O5","C8H14O5_[M-H]-",190.08412352
"LimoneneNegative","148","Inactive","C8H10O2","C8H10O2_[M-H2O-H]-",138.06807954
"LimoneneNegative","149","Inactive","C7H10O4","C7H10O4_[M-H]-",158.05790878
"LimoneneNegative","15","Inactive","C6H8O2","C6H8O2_[M-H]-",112.05242948
"LimoneneNegative","150","Inactive","C8H14O4","C8H14O4_[M-H]-",174.0892089
"LimoneneNegative","151","Inactive","C8H10O5","C8H10O5_[M-H]-",186.0528234
"LimoneneNegative","152","Inactive","C9H15ClO5","C9H15ClO5_[M-H]-",238.06080123
"LimoneneNegative","153","Inactive","C12H14O7","C12H14O7_[M-H]-",270.07395276
"LimoneneNegative","154","Inactive","C6H10O2","C6H10O2_[M-H]-",114.06807954
"LimoneneNegative","155","Inactive","C8H14O3","C8H14O3_[M-H]-",158.09429428
"LimoneneNegative","156","Inactive","C9H14O5","C9H14O5_[M-H]-",202.08412352
"LimoneneNegative","157","Inactive","C8H12O4","C8H12O4_[M-H]-",172.07355884
"LimoneneNegative","158","Inactive","C5H8O3","C5H8O3_[M-H]-",116.0473441
"LimoneneNegative","159","Inactive","C8H12O2","C8H12O2_[M-H2O-H]-",140.0837296
"LimoneneNegative","16","Inactive","C7H8O5","C7H8O5_[M-H]-",172.03717334
"LimoneneNegative","16","Inactive","C7H8O5","C7H8O5_[M-H2O-H]-",172.03717334
"LimoneneNegative","160","Inactive","C6H8O3","C6H8O3_[M-H]-",128.0473441
"LimoneneNegative","161","Inactive","C10H14O6","C10H14O6_[M-H2O-H]-",230.07903814
"LimoneneNegative","162","Inactive","C9H12O4","C9H12O4_[M-H2O-H]-",184.07355884
"LimoneneNegative","163","Active","C11H12N2O6","C11H12N2O6_[M-H]-",268.06953608
"LimoneneNegative","164","Active","C13H16O8","C13H16O8_[M-H]-",300.08451744
"LimoneneNegative","165","Inactive","C20H32O12","C20H32O12_[M-H]-",464.1893764
"LimoneneNegative","166","Inactive","C6H10O4","C6H10O4_[M-H]-",146.05790878
"LimoneneNegative","167","Inactive","C7H10O2","C7H10O2_[M-H2O-H]-",126.06807954
"LimoneneNegative","168","Inactive","C6H10O3","C6H10O3_[M-H]-",130.06299416
"LimoneneNegative","169","Inactive","C8H12O","C8H12O_[M-H2O-H]-",124.08881498
"LimoneneNegative","17","Inactive","C7H10O6","C7H10O6_[M-H]-",190.04773802
"LimoneneNegative","170","Inactive","C10H14O6","C10H14O6_[M-H2O-H]-",230.07903814
"LimoneneNegative","171","Inactive","C13H16O7","C13H16O7_[M-H]-",284.08960282
"LimoneneNegative","172","Inactive","C9H12O3","C9H12O3_[M-H]-",168.07864422
"LimoneneNegative","173","Inactive","C10H16O6","C10H16O6_[M-H]-",232.0946882
"LimoneneNegative","174","Inactive","C9H17N2O3S","C9H17N2O3S_[M-H]-",233.09598854
"LimoneneNegative","175","Inactive","C9H14O5","C9H14O5_[M-H]-",202.08412352
"LimoneneNegative","176","Inactive","C6H10O4","C6H10O4_[M-H]-",146.05790878
"LimoneneNegative","177","Inactive","C10H14O5","C10H14O5_[M-H]-",214.08412352
"LimoneneNegative","178","Inactive","C6H11N6O3","C6H11N6O3_[M-H]-",215.08926319
"LimoneneNegative","179","Inactive","C7H8O3","C7H8O3_[M-H]-",140.0473441
"LimoneneNegative","179","Inactive","C7H8O3","C7H8O3_[M-H2O-H]-",140.0473441
"LimoneneNegative","18","Inactive","C8H10O7","C8H10O7_[M-H]-",218.04265264
"LimoneneNegative","180","Inactive","C7H10O2","C7H10O2_[M-H]-",126.06807954
"LimoneneNegative","180","Inactive","C7H10O2","C7H10O2_[M-H2O-H]-",126.06807954
"LimoneneNegative","181","Inactive","C7H10O3","C7H10O3_[M-H]-",142.06299416
"LimoneneNegative","181","Inactive","C7H10O3","C7H10O3_[M-H2O-H]-",142.06299416
"LimoneneNegative","183","Inactive","C8H10O4","C8H10O4_[M-H]-",170.05790878
"LimoneneNegative","184","Inactive","C5H8O2","C5H8O2_[M-H]-",100.05242948
"LimoneneNegative","185","Inactive","C7H6O4","C7H6O4_[M-H]-",154.02660866
"LimoneneNegative","186","Inactive","C7H8O5","C7H8O5_[M-H]-",172.03717334
"LimoneneNegative","187","Inactive","C5H6O3","C5H6O3_[M-H]-",114.03169404
"LimoneneNegative","188","Inactive","C8H10O2","C8H10O2_[M-H]-",138.06807954
"LimoneneNegative","189","Inactive","C9H12O4","C9H12O4_[M-H]-",184.07355884
"LimoneneNegative","19","Inactive","C9H14O7","C9H14O7_[M-H]-",234.07395276
"LimoneneNegative","190","Inactive","C10H14O5","C10H14O5_[M-H2O-H]-",214.08412352
"LimoneneNegative","191","Inactive","C6H11N6O3","C6H11N6O3_[M-H]-",215.08926319
"LimoneneNegative","192","Inactive","C10H16O5","C10H16O5_[M-H]-",216.09977358
"LimoneneNegative","193","Inactive","C13H16O7","C13H16O7_[M-H]-",284.08960282
"LimoneneNegative","194","Inactive","C5H6O2","C5H6O2_[M-H2O-H]-",98.03677942
"LimoneneNegative","195","Inactive","C6H8O2","C6H8O2_[M-H]-",112.05242948
"LimoneneNegative","196","Inactive","C5H8O3","C5H8O3_[M-H]-",116.0473441
"LimoneneNegative","197","Inactive","C6H8O3","C6H8O3_[M-H]-",128.0473441
"LimoneneNegative","198","Inactive","C9H12O3","C9H12O3_[M-H2O-H]-",168.07864422
"LimoneneNegative","199","Inactive","C8H16O4","C8H16O4_[M-H]-",176.10485896
"LimoneneNegative","2","Inactive","C10H20O5","C10H20O5_[M-H]-",220.1310737
"LimoneneNegative","20","Inactive","C6H8O4","C6H8O4_[M-H]-",144.04225872
"LimoneneNegative","200","Inactive","C9H14O4","C9H14O4_[M-H]-",186.0892089
"LimoneneNegative","201","Inactive","C9H12O6","C9H12O6_[M-H]-",216.06338808
"LimoneneNegative","202","Inactive","C8H14O5","C8H14O5_[M-H]-",190.08412352
"LimoneneNegative","203","Inactive","C10H14O4","C10H14O4_[M-H2O-H]-",198.0892089
"LimoneneNegative","204","Inactive","C12H14O6","C12H14O6_[M-H]-",254.07903814
"LimoneneNegative","205","Inactive","C12H18O6","C12H18O6_[M-H]-",258.11033826
"LimoneneNegative","206","Inactive","C7H12O2","C7H12O2_[M-H]-",128.0837296
"LimoneneNegative","207","Inactive","C8H12O4","C8H12O4_[M-H]-",172.07355884
"LimoneneNegative","208","Inactive","C7H8O3","C7H8O3_[M-H2O-H]-",140.0473441
