"Name","DTXSID","CASRN","SMILES","MONOISOTOPIC_MASS","Actual","Predicted","Probability"
"17beta-Estradiol","DTXSID0020573","50-28-2","[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H]",272.17763,1,1,0.686266303062439
"Medroxyprogesterone acetate","DTXSID0025527","71-58-9","[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C",386.24571,1,1,0.644174158573151
"21-Hydroxyprogesterone","DTXSID0045254","64-85-7","[H][C@@]12CC[C@H](C(=O)CO)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C",330.219495,1,1,0.615886926651001
"Octhilinone","DTXSID1025805","26530-20-1","CCCCCCCCN1SC=CC1=O",213.118735,1,1,0.528490304946899
"Dibutyl decanedioate","DTXSID1041847","109-43-3","CCCCOC(=O)CCCCCCCCC(=O)OCCCC",314.24571,1,1,0.338239401578903
"trans,cis-2,6-Nonadienal","DTXSID1047104","557-48-2","CC\C=C/CC\C=C\C=O",138.104465,1,1,0.446329057216644
"Pentaerythritol triacrylate","DTXSID2025842","3524-68-3","OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C",298.105253,1,1,0.705067038536072
"Androsterone","DTXSID3036525","53-41-8","[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C",290.22458,1,1,0.631751179695129
"2,5-Di-tert-butylcyclohexa-2,5-diene-1,4-dione","DTXSID3044889","2460-77-7","CC(C)(C)C1=CC(=O)C(=CC1=O)C(C)(C)C",220.14633,1,1,0.569112360477448
"Biphenyl","DTXSID4020161","92-52-4","C1=CC=C(C=C1)C1=CC=CC=C1",154.07825,1,1,0.336820095777512
"4-(Diethylamino)salicylaldehyde","DTXSID5022271","17754-90-4","CCN(CC)C1=CC=C(C=O)C(O)=C1",193.110279,1,1,0.397960901260376
"2,5-Bis(2-methylbutan-2-yl)benzene-1,4-diol","DTXSID5044992","79-74-3","CCC(C)(C)C1=CC(O)=C(C=C1O)C(C)(C)CC",250.19328,1,1,0.630700469017029
"4-Thiocresol","DTXSID5048188","106-45-6","CC1=CC=C(S)C=C1",124.034671,1,0,0.275161772966385
"Bisphenol A diglycidyl ether","DTXSID6024624","1675-54-3","CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1",340.167459,1,1,0.709853231906891
"Cycloheximide","DTXSID6024882","66-81-9","[H][C@]1(C[C@@H](C)C[C@H](C)C1=O)[C@H](O)CC1CC(=O)NC(=O)C1",281.162708,1,1,0.400441318750381
"Retinoic acid","DTXSID7021239","302-79-4","C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O",300.20893,1,1,0.727422297000885
